Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify whether given list renders or not(pagination) Coupon ,UN-66,10090,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,08/Sep/21 9:12 AM,08/Sep/21 9:22 AM,08/Sep/21 9:12 AM,08/Sep/21 9:22 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,UN-44,,,,,,,,,,{},,,,,,,0|i0006m:zwzzy,,UN Sprint 1,,,,,,,,Done
verify that admin is able to select top and column in data field of category,UN-65,10089,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,08/Sep/21 9:03 AM,08/Sep/21 9:22 AM,08/Sep/21 9:07 AM,08/Sep/21 9:22 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006m:zwzz9,,UN Sprint 1,,,,,,,,Done
verify coupon per customer and use,UN-64,10088,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,08/Sep/21 9:01 AM,08/Sep/21 9:22 AM,08/Sep/21 9:02 AM,08/Sep/21 9:22 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006m:zwzzx,,UN Sprint 1,,,,,,,,Done
verify the discount and total amount in coupon,UN-63,10087,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,08/Sep/21 8:58 AM,08/Sep/21 9:22 AM,08/Sep/21 9:00 AM,08/Sep/21 9:22 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006m:zwzzm,,UN Sprint 1,,,,,,,,Done
To verify description in category,UN-62,10086,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,08/Sep/21 8:55 AM,08/Sep/21 9:23 AM,08/Sep/21 8:56 AM,08/Sep/21 9:23 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,UN-31,,,,,,,,,,{},,,,,,,0|i0006m:zwzzv,,UN Sprint 1,,,,,,,,Done
"Verifying that in coupon section,  the End date for coupon validation is is less than that start date",UN-61,10085,Bug,To Do,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,08/Sep/21 5:07 AM,08/Sep/21 6:19 AM,08/Sep/21 5:15 AM,,,0,"1.Go to uniform app.

2.Click on coupon under marketing section.

3.click on edit option.

# In edit section user should not add end date less than start date

Expected Result

Admin should not  be able to  add end date less than start date

!Date Bug.png|width=1920,height=1080!

Actual Result

Admin is able to add end date less than start date",,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,UN-24,UN-60,,,,,08/Sep/21 5:10 AM;ug:720199d5-cc87-4f44-ae81-e976cf5905b4;Date Bug.png;https://corporateola9496.atlassian.net/secure/attachment/10002/Date+Bug.png,,,,,,{},,,,,,,0|i0006m:zwzzr,,UN Sprint 1,,,,,,,,To Do
Verifying the start date and end date while editing coupon,UN-60,10084,Test,block,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,08/Sep/21 4:51 AM,08/Sep/21 5:15 AM,08/Sep/21 5:28 AM,,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-24,,,,,,,,,{},,,,,,,0|i0006m:zwzu,,UN Sprint 1,,,,,,,,In Progress
verify  whether admin can select the checkbox in coupon,UN-59,10083,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,08/Sep/21 4:26 AM,08/Sep/21 5:14 AM,08/Sep/21 4:27 AM,08/Sep/21 5:14 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,UN-58,,,,,,,,,,{},,,,,,,0|i0006m:zwzzi,,UN Sprint 1,,,,,,,,Done
verify  whether admin can select the checkbox in category,UN-58,10082,Test,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,08/Sep/21 4:23 AM,08/Sep/21 5:14 AM,08/Sep/21 4:26 AM,08/Sep/21 5:14 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-57,,,,,,,,,{},,,,,,,0|i0006m:zwzt,,UN Sprint 1,,,,,,,,Done
To verify checkbox of  coupon and category for selection ,UN-57,10081,Story,Done,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,Done,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,08/Sep/21 4:23 AM,08/Sep/21 5:14 AM,08/Sep/21 4:27 AM,08/Sep/21 5:14 AM,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,,,,UN-59,,,,,,,,,{},,,,,,,0|i0006m:zwzd,,UN Sprint 1,,,,,,,,Done
verify that admin is able to see history of edited coupons,UN-56,10080,Bug,To Do,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,07/Sep/21 12:05 PM,08/Sep/21 6:19 AM,08/Sep/21 5:20 AM,,,0,"1.Go to uniform app. 

2.Click on coupon under marketing section.

3.click on edit option.

4. In  edit section user should be able to see history. 

Expected Result

Admin should be able to see edited history

Actual Result

Admin is unable to see history

!Bug.png|width=1920,height=1080!",,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,UN-24,,,,,,07/Sep/21 12:31 PM;ug:720199d5-cc87-4f44-ae81-e976cf5905b4;Bug.png;https://corporateola9496.atlassian.net/secure/attachment/10001/Bug.png,,,,,,{},,,,,,,0|i0006m:zwzz,,UN Sprint 1,,,,,,,,To Do
As a admin I have to see history of edited coupon ,UN-55,10079,Test,block,UN,Uniform,software,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,Medium,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,07/Sep/21 12:01 PM,08/Sep/21 4:13 AM,08/Sep/21 4:10 AM,,,0,,,Ruturaj Jamdar,612ef7bb0f8ff40068cd574d,,,,,,,,,UN-56,,,UN-24,,,,,,,,,{},,,,,,,0|i0006m:zwzy,,UN Sprint 1,,,,,,,,In Progress
